a_filename,b_filename,c_filename,a_date,b_date,c_date,d_ab,d_bc,d_ac,aba_score_geometry,return_features_count,return_features
2001_11_05__b352749108db.png,2002_07_10__b381fac011aa.png,2002_11_01__91b483a91623.png,2001-11-05,2002-07-10,2002-11-01,1.400830205511123,1.9324291003036835,1.9088731276683655,-0.2422434747609623,3,brow_eye_left_3d; brow_eye_right_3d; brow_span_3d
2011_01_14__9c042350b198.png,2011_02_24_2__37302614bfe9.png,2011_02_24_2__d7e36165ddcb.png,2011-01-14,2011-02-24,2011-02-24,1.7361680459472204,1.1534461805480254,1.691953566311447,-0.24714645306382432,1,nose_axis_bend_3d
2000_01_26__491e4b1a2e04.png,2000_03_25__81bbc9e35b9f.png,2000_04_17__c4939789cb22.png,2000-01-26,2000-03-25,2000-04-17,1.138446886507975,0.8422878443626309,1.2416823834672053,-0.25131501803190226,0,
2002_07_10__b381fac011aa.png,2002_11_01__91b483a91623.png,2002_12_02__c759b9171ecc.png,2002-07-10,2002-11-01,2002-12-02,1.9324291003036835,1.26031488393371,1.8546224850403454,-0.2582504929216487,3,nose_base_asym; nose_ridge_length_3d; central_depth_contrast
2004_04_14_2__94ea1ed0423e.png,2004_05_18__df8bec57cdb1.png,2004_09_24__b548f1ec1542.png,2004-04-14,2004-05-18,2004-09-24,1.0513567854300452,1.5068218650676517,1.5397440169169136,-0.2606546916680652,2,brow_height_asym; eye_level_asym
2011_06_21__0d8e18daf476.png,2011_07_20__5bc817e4e8f9.png,2011_10_15__f674bc675070.png,2011-06-21,2011-07-20,2011-10-15,1.4001088139776914,0.8633939355954325,1.408551726105648,-0.276800351319086,1,brow_eye_left_3d
1999_09_01__fdfba9d7bcd5.png,1999_10_19__330e619ff8aa.png,1999_10_23__9487fe3a5a1d.png,1999-09-01,1999-10-19,1999-10-23,0.7086639615218516,1.0643503022341503,1.168817742955612,-0.282310611077611,2,eye_level_asym; brow_eye_asym
2009_04_22__07d0c33f0411.png,2009_04_27__f9e5a1392d8e.png,2009_06_03__4db76aa26c0a.png,2009-04-22,2009-04-27,2009-06-03,0.9235007902711412,0.9743703628942509,1.238635901026436,-0.28970032444373994,1,mouth_height_3d
2010_07_19__fc479667e703.png,2010_08_03__f404f7dc0b6b.png,2010_09_20_2__89a2ee86126a.png,2010-07-19,2010-08-03,2010-09-20,1.4154745640821722,1.2798578694642013,1.6466499136893253,-0.2989836969161386,4,brow_eye_asym; mouth_nose_offset; brow_height_asym; midface_ratio
2009_10_25__28671c6bca3b.png,2009_10_29__e12fd98ba226.png,2009_11_25__d6449a26fbe8.png,2009-10-25,2009-10-29,2009-11-25,1.0772579744570168,1.5750805988182162,1.6270558165080817,-0.30088652987046527,1,mouth_height_3d
2009_08_29__91867a6526c5.png,2009_09_19__3227c25726be.png,2009_09_24__a781e62958f6.png,2009-08-29,2009-09-19,2009-09-24,1.418493346234892,2.6361573885948357,2.3284738493157153,-0.3011484819008512,4,eye_level_asym; nose_base_width_3d; brow_height_asym; mouth_height_3d
2006_04_24_2__d9392a8c6bb9.png,2006_06_02_2__458b8e8ca007.png,2006_07_14__17aab6062ef7.png,2006-04-24,2006-06-02,2006-07-14,2.490370369651976,2.1438626382075223,2.6454193371678643,-0.32830283323811527,4,nose_axis_bend_3d; nose_ridge_length_3d; brow_eye_asym; brow_height_asym
2000_01_25__abb13fb9f924.png,2000_01_26__491e4b1a2e04.png,2000_03_25__81bbc9e35b9f.png,2000-01-25,2000-01-26,2000-03-25,1.271112538941969,1.138446886507975,1.5505269435077602,-0.345747230782788,0,
2007_01_15__38cac42dd463.png,2007_03_14__84a9e9985ee5.png,2007_04_08__c233b8c9babd.png,2007-01-15,2007-03-14,2007-04-08,1.0688568439565647,2.5194093709247873,2.184014263915085,-0.3898811564744089,5,brow_eye_asym; midface_ratio; brow_height_asym; brow_span_3d; eye_anchor_spacing_3d
2000_07_23__5f52c4b8b456.png,2001_02_27_3__19b6ca387359.png,2001_02_27__fb61b453ec73.png,2000-07-23,2001-02-27,2001-02-27,1.6486736700242437,1.087309289792793,1.7619603427493815,-0.3939688628408633,2,nose_base_width_3d; mouth_width_3d
2004_05_18__df8bec57cdb1.png,2004_09_24__b548f1ec1542.png,2004_09_28__a2845eed8e20.png,2004-05-18,2004-09-24,2004-09-28,1.5068218650676517,2.138488701141092,2.2240804371680274,-0.40142515406365553,6,nose_projection_3d; brow_height_asym; eye_anchor_spacing_3d; midface_ratio; central_depth_contrast; nose_ridge_length_3d
2005_10_25__348bc2e79c0e.png,2006_01_07__8b5e0825527e.png,2006_04_24_2__d9392a8c6bb9.png,2005-10-25,2006-01-07,2006-04-24,1.6262638106821907,1.9957639037854187,2.215993024806146,-0.4049791675723413,4,midface_ratio; mouth_nose_offset; eye_anchor_spacing_3d; brow_span_3d
